Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,AST/G,TOV/G,REB/G,STL/G,BLK/G,FTA/G,3PM/G,PF/G,Euro Archetype Tag
Tyrese Proctor,9.1564,27.4,11.3,3.7,12.3,0.297,2,6.7,0.3,2,3,0.667,0.7,2.3,3,3.7,1.3,1.3,0.3,2.3,7,1.233333333,0.4333333333,1,0.4333333333,0.1,1,0.6666666667,0.7666666667,
Alex Toohey,6.0077,23.8,11,3,10,0.3,1,4,0.25,4,5.5,0.727,2,2,4,1.5,1,2.5,0,2.5,-19,0.75,0.5,2,1.25,0,2.75,0.5,1.25,3&D Wing
Boogie Ellis,8.5442,21.4,11,3,8,0.375,3,4.5,0.667,2,2,1,1,2.5,3.5,3.5,3,2.5,0,3.5,9,1.75,1.5,1.75,1.25,0,1,1.5,1.75,3&D Wing
Bronny James,7.03,22.5,11,3.5,9.5,0.368,1,5.5,0.182,3,4,0.75,0.5,1,1.5,2.5,2.5,1,0.5,2.5,-3,1.25,1.25,0.75,0.5,0.25,2,0.5,1.25,
Isaac Jones,8.9818,27,11,3,6,0.5,0.5,1,0.5,4.5,5.5,0.818,2.5,3.5,6,2.5,2.5,1,0.5,3,8,1.25,1.25,3,0.5,0.25,2.75,0.25,1.5,
Mason Jones,8.2479,26.9,11,3,7,0.429,2,5,0.4,3,4,0.75,0.5,2.5,3,5.5,1,1,0,3.5,2,2.75,0.5,1.5,0.5,0,2,1,1.75,
Micah Peavy,5.8956,24.9,11,5,9,0.556,1,2,0.5,0,0,0,3,4,7,0,2,2,0,7,-20,0,2,7,2,0,0,1,7,
Norchad Omier,7.4533,19.6,11,4.7,9,0.519,0,0.7,0,1.7,2.3,0.714,4,4,8,0.7,3,1.3,0.3,5,-2,0.2333333333,1,2.666666667,0.4333333333,0.1,0.7666666667,0,1.666666667,
Vladislav Goldin,5.9733,13.4,11,5,5,1,0,0,0,1,3,0.333,1,0,1,1,3,0,0,0,14,1,3,1,0,0,3,0,0,
Will Richard,7.4258,23.3,11,4,8,0.5,0.5,4,0.125,2.5,3,0.833,2,3,5,1.5,1.5,3,1,2.5,-3,0.75,0.75,2.5,1.5,0.5,1.5,0.25,1.25,3&D Wing
Baylor Scheierman,10.7809,27.4,10.5,4,14.5,0.276,1,7.5,0.133,1.5,1.5,1,0.5,6,6.5,6,1.5,1.5,0,2.5,14,3,0.75,3.25,0.75,0,0.75,0.5,1.25,
Bub Carrington,8.7433,30.4,10.5,3,8,0.375,2,4.5,0.444,2.5,3.5,0.714,0.5,4,4.5,4,2.5,1.5,0,2.5,2,2,1.25,2.25,0.75,0,1.75,1,1.25,
Jaden Shackelford,6.7908,22.1,10.5,2.5,8.5,0.294,1.5,7,0.214,4,5,0.8,0,2,2,1.5,0.5,0,0,2.5,-3,0.75,0.25,1,0,0,2.5,0.75,1.25,
Osayi Osifo,7.6669,18.9,10.5,5,6.5,0.769,0,0,0,0.5,0.5,1,1.5,2.5,4,1.5,0,0.5,1,5,17,0.75,0,2,0.25,0.5,0.25,0,2.5,
Tamar Bates,6.5771,18.3,10.5,4.5,12.5,0.36,0.5,4.5,0.111,1,1,1,1.5,0,1.5,2,1.5,1.5,0,1.5,2,1,0.75,0.75,0.75,0,0.5,0.25,0.75,
Will Riley,5.7204,21.8,10.5,3.5,6,0.583,2,3.5,0.571,1.5,2,0.75,0,1.5,1.5,1.5,0.5,0,0,1.5,-2,0.75,0.25,0.75,0,0,1,1,0.75,
Yuri Collins,7.3,27.6,10.5,4,10,0.4,0,1,0,2.5,2.5,1,0.5,3.5,4,5,2,1,0.5,3,-6,2.5,1,2,0.5,0.25,1.25,0,1.5,
Zavier Simpson,9.0366,25.5,10.5,4,7.5,0.533,1,3,0.333,1.5,3,0.5,1.5,2,3.5,4.5,3.5,3.5,1.5,4,9,2.25,1.75,1.75,1.75,0.75,1.5,0.5,2,3&D Wing
Brice Williams,4.8277,13.5,10,4,9,0.444,2,6,0.333,0,0,0,1,1,2,2,1,0,1,1,-6,2,1,2,0,1,0,2,1,
Darius Bazley,10.8629,27.9,10,3.5,6,0.583,0.5,1.5,0.333,2.5,8,0.313,3.5,7,10.5,3.5,2.5,1.5,3,3,13,1.75,1.25,5.25,0.75,1.5,4,0.25,1.5,
