Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,MSR,MSR %,AST/G,TOV/G,REB/G,STL/G,BLK/G,FTA/G,3PM/G,PF/G,Euro Archetype Tag
Darius Bazley,2,27.9,10,3.5,6,0.583,0.5,1.5,0.333,2.5,8,0.313,3.5,7,10.5,3.5,2.5,1.5,3,3,13,108.629,10.8629,1.75,1.25,5.25,0.75,1.5,4,0.25,1.5,
Dexter Dennis,2,20.7,10,3,4,0.75,3,3.5,0.857,1,2,0.5,0,0.5,0.5,0,0,0,0.5,2,11,63.807,6.3807,0,0,0.25,0,0.25,1,1.5,1,
Hansen Yang,2,24.8,10,3.5,7.5,0.467,0.5,2.5,0.2,2.5,3,0.833,1,3.5,4.5,4,4,0.5,2,4.5,12,91.8,9.18,2,2,2.25,0.25,1,1.5,0.25,2.25,
Justin Edwards,2,25.5,10,3.5,11,0.318,2,6,0.333,1,1.5,0.667,0,1.5,1.5,1,3,0,0,3.5,-15,57.318,5.7318,0.5,1.5,0.75,0,0,0.75,1,1.75,
Kel'el Ware,1,26.6,10,4,9,0.444,0,2,0,2,2,1,3,3,6,0,1,1,1,3,-21,54.044,5.4044,0,1,6,1,1,2,0,3,Stretch Big / Rim Protector
Kevon Harris,1,17.2,10,3,7,0.429,2,5,0.4,2,2,1,1,0,1,2,2,4,0,2,-6,56.029,5.6029,2,2,1,4,0,2,2,2,3&D Wing
Kobe Sanders,1,13.7,10,4,9,0.444,2,4,0.5,0,0,0,1,0,1,1,1,1,0,1,5,54.644,5.4644,1,1,1,1,0,0,2,1,3&D Wing
Malevy Leons,2,22.5,10,4.5,7,0.643,0.5,1,0.5,0.5,0.5,1,3,4,7,3,0.5,1.5,1,5,22,95.643,9.5643,1.5,0.25,3.5,0.75,0.5,0.25,0.25,2.5,
Spencer Jones,2,24.1,10,4,7.5,0.533,1.5,4,0.375,0.5,1.5,0.333,1,3,4,0,1,1.5,0,5,-11,58.841,5.8841,0,0.5,2,0.75,0,0.75,0.75,2.5,
Taran Armstrong,1,24.9,10,3,7,0.429,2,4,0.5,2,2,1,0,3,3,7,3,4,0,0,-18,58.829,5.8829,7,3,3,4,0,2,2,0,3&D Wing
Tyler Kolek,1,26.6,10,4,11,0.364,0,5,0,2,2,1,3,3,6,8,5,1,1,2,-14,76.964,7.6964,8,5,6,1,1,2,0,2,Stretch Big / Rim Protector
Yves Missi,2,25.3,10,4,10,0.4,0,0,0,2,6.5,0.308,5,7,12,0,0.5,1,1.5,2,-13,74.508,7.4508,0,0.25,6,0.5,0.75,3.25,0,1,
Johnny Furphy,2,19.1,9.5,4,8,0.5,1,4.5,0.222,0.5,1,0.5,0,3,3,2.5,2.5,0.5,0,2,-13,49.322,4.9322,1.25,1.25,1.5,0.25,0,0.5,0.5,1,
Amari Williams,1,21.5,9,3,3,1,0,0,0,3,4,0.75,0,3,3,1,3,1,2,3,-6,55.25,5.525,1,3,3,1,2,4,0,3,
Cameron Tyson,2,14.8,9,3,7,0.429,3,6.5,0.462,0,0,0,0.5,2,2.5,2,0,0,0,2,-1,52.191,5.2191,1,0,1.25,0,0,0,1.5,1,
Curtis Jones,2,16.7,9,3,7,0.429,2,5,0.4,1,1,1,0,3,3,2.5,1.5,0,0.5,4,1,62.029,6.2029,1.25,0.75,1.5,0,0.25,0.5,1,2,
